gameweek,player_id,player_name,team_id,position_id,overall_team_strength,team_position_relevant_strength,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
5,474,Chris Basham,17,2,1040,1060,14,2,18,Spurs,3,13,22.4,1.4000000000000001,4.0,1.2399999999999998,5,19,35.6,2.7,6.0,-0.56,11.0,1.5,90,0,0
5,476,Jayden Bogle,17,2,1040,1060,14,2,18,Spurs,7,18,36.0,0.4,17.0,1.78,7,18,36.0,0.4,17.0,1.78,11.0,1.5,85,6,1
5,482,Wes Foderingham,17,1,1040,1060,14,2,18,Spurs,7,58,94.19999999999999,0.0,0.0,-4.97,11,80,144.0,0.0,0.0,-6.98,11.0,1.5,90,3,0
5,485,Oliver McBurnie,17,4,1040,1020,14,2,18,Spurs,6,16,33.4,26.5,60.0,0.9199999999999999,6,16,33.4,26.5,60.0,0.9199999999999999,11.0,1.5,90,-1,0
5,493,Yves Bissouma,18,3,1170,1110,14,1,17,Sheffield Utd,7,46,73.4,23.0,38.0,0.33999999999999997,9,66,102.8,48.6,46.0,0.49,1.29,1.5,90,1,0
5,501,Dejan Kulusevski,18,3,1170,1110,14,1,17,Sheffield Utd,12,41,69.39999999999999,77.6,110.0,0.71,14,53,79.39999999999999,97.4,129.0,1.11,1.29,1.5,90,10,1
5,504,James Maddison,18,3,1170,1110,14,1,17,Sheffield Utd,20,78,113.0,85.5,150.0,2.39,29,109,162.2,168.4,171.0,3.4,1.29,1.5,90,1,0
5,506,Pedro Porro,18,2,1170,1230,14,1,17,Sheffield Utd,16,83,61.400000000000006,46.5,23.0,-1.25,16,83,61.400000000000006,46.5,23.0,-1.25,1.29,1.5,90,2,0
5,508,Sergio Reguilón,4,2,-1,-1,14,0,0,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,NULL,NULL,84,1,0
5,511,Cristian Romero,18,2,1170,1230,14,1,17,Sheffield Utd,20,86,115.4,2.9,13.0,-1.5099999999999998,27,101,149.4,3.2,46.0,-1.5099999999999998,1.29,1.5,90,2,0
