gameweek,player_id,player_name,team_id,overall_team_strength,team_position_relevant_strength,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,126,Moisés Caicedo Corozo,7,1125,1080,3,20,1,15,NULL,2,12,28.4,6.7,0.0,0.03,44,270,329.8,248.5,29.0,1.2600000000000002,1.85,1.4,-1,-1,-1
28,127,Aaron Connolly,5,1100,1070,4,14,1,16,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.75,1.57,-1,-1,-1
28,128,Mahmoud Dahoud,5,1100,1070,3,14,1,16,NULL,0,0,0.0,0.0,0.0,0.0,14,68,70.39999999999999,127.2,24.0,0.76,1.75,1.57,-1,-1,-1
28,129,Lewis Dunk,5,1100,1135,2,14,1,16,NULL,17,66,101.39999999999999,23.4,67.0,0.9199999999999999,60,377,603.3999999999999,173.79999999999998,319.0,-31.470000000000006,1.75,1.57,-1,-1,-1
28,130,Julio Enciso,5,1100,1070,3,14,1,16,NULL,3,3,5.6,16.5,39.0,0.25,10,31,44.6,41.2,68.0,1.02,1.75,1.57,-1,-1,-1
28,131,Pervis Estupiñán,5,1100,1135,2,14,1,16,NULL,7,41,39.400000000000006,94.3,21.0,0.41000000000000014,48,231,304.19999999999993,356.0,152.0,-17.330000000000002,1.75,1.57,-1,-1,-1
28,132,Evan Ferguson,5,1100,1070,4,14,1,16,NULL,5,5,12.2,15.3,45.0,0.7000000000000001,67,212,271.4,101.39999999999998,389.0,5.26,1.75,1.57,-1,-1,-1
28,133,Billy Gilmour,5,1100,1070,3,14,1,16,NULL,-1,3,3.8,20.3,2.0,0.08,54,310,251.0,423.7,97.0,3.0100000000000002,1.75,1.57,-1,-1,-1
28,134,Pascal Groß,5,1100,1070,3,14,1,16,NULL,16,68,68.4,151.3,5.0,0.7000000000000001,124,542,775.9999999999999,1170.3,354.0,11.889999999999999,1.75,1.57,-1,-1,-1
28,135,João Pedro Junqueira de Jesus,5,1100,1070,4,14,1,16,NULL,0,0,0.0,0.0,0.0,0.0,83,322,485.2,330.1,644.0,11.599999999999998,1.75,1.57,-1,-1,-1
28,136,Michał Karbownik,5,1100,1135,2,14,1,16,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,1.75,1.57,-1,-1,-1
28,137,Kacper Kozłowski,5,1100,1070,3,14,1,16,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.75,1.57,-1,-1,-1
28,138,Adam Lallana,5,1100,1070,3,14,1,16,NULL,2,13,8.4,37.3,3.0,0.25,23,79,73.0,195.6,87.0,1.68,1.75,1.57,-1,-1,-1
28,139,Tariq Lamptey,5,1100,1135,2,14,1,16,NULL,7,27,14.399999999999999,16.2,14.0,1.97,24,113,95.00000000000001,91.19999999999999,45.0,-2.860000000000001,1.75,1.57,-1,-1,-1
28,140,Solly March,5,1100,1070,3,14,1,16,NULL,0,0,0.0,0.0,0.0,0.0,39,134,197.40000000000003,126.49999999999999,139.0,3.07,1.75,1.57,-1,-1,-1
